iter	Passed	Remaining
758	8019	203285
759	8029	203267
760	8039	203248
761	8050	203238
762	8059	203202
763	8069	203174
764	8080	203166
765	8091	203162
766	8101	203151
767	8112	203154
768	8123	203147
769	8134	203149
770	8146	203181
771	8157	203179
772	8168	203168
773	8178	203163
774	8189	203145
775	8199	203121
776	8209	203112
777	8220	203100
778	8230	203086
779	8242	203095
780	8253	203105
781	8264	203108
782	8275	203096
783	8285	203080
784	8295	203060
785	8308	203093
786	8319	203110
787	8330	203101
788	8340	203088
789	8351	203083
790	8362	203081
791	8372	203059
792	8382	203025
793	8392	202998
794	8402	202984
795	8412	202964
796	8422	202942
797	8433	202928
798	8442	202886
799	8453	202880
800	8463	202858
801	8474	202862
802	8485	202851
803	8495	202843
804	8506	202833
805	8515	202797
806	8525	202773
807	8535	202745
808	8545	202721
809	8556	202714
810	8567	202706
811	8577	202688
812	8588	202689
813	8598	202672
814	8608	202647
815	8618	202607
816	8628	202592
817	8638	202579
818	8648	202550
819	8658	202524
820	8668	202495
821	8677	202464
822	8687	202429
823	8698	202426
824	8708	202403
825	8718	202380
826	8727	202346
827	8737	202318
828	8747	202292
829	8758	202287
830	8768	202271
831	8778	202246
832	8790	202260
833	8800	202239
834	8809	202206
835	8820	202197
836	8830	202162
837	8839	202126
838	8849	202100
839	8858	202067
840	8868	202041
841	8878	202011
842	8888	201983
843	8898	201956
844	8907	201929
845	8919	201932
846	8928	201902
847	8939	201896
848	8951	201912
849	8961	201895
850	8971	201870
851	8981	201845
852	8990	201815
853	9001	201795
854	9010	201770
855	9020	201738
856	9030	201722
857	9040	201694
858	9050	201680
859	9060	201656
860	9070	201632
861	9080	201594
862	9090	201577
863	9100	201561
864	9111	201549
865	9120	201524
866	9131	201506
867	9141	201486
868	9150	201452
869	9160	201428
870	9169	201391
871	9179	201364
872	9189	201337
873	9198	201302
874	9208	201267
875	9217	201234
876	9227	201198
877	9237	201174
878	9246	201147
879	9257	201140
880	9268	201133
881	9278	201119
882	9289	201110
883	9299	201103
884	9310	201090
885	9320	201074
886	9331	201064
887	9341	201047
888	9351	201030
889	9361	201006
890	9371	200982
891	9381	200972
892	9391	200949
893	9401	200924
894	9411	200906
895	9422	200901
896	9431	200868
897	9442	200850
898	9452	200846
899	9463	200830
900	9473	200816
901	9483	200799
902	9494	200784
903	9504	200772
904	9514	200757
905	9524	200731
906	9534	200716
907	9544	200687
908	9554	200669
909	9564	200646
910	9573	200612
911	9585	200631
912	9596	200627
913	9607	200621
914	9619	200649
915	9632	200677
916	9642	200660
917	9652	200638
918	9662	200615
919	9672	200593
920	9681	200567
921	9691	200540
922	9701	200513
923	9711	200498
924	9722	200487
925	9732	200469
926	9741	200439
927	9754	200471
928	9765	200469
929	9775	200451
930	9786	200443
931	9797	200453
932	9810	200487
933	9821	200490
934	9832	200478
935	9842	200462
936	9852	200447
937	9862	200423
938	9872	200410
939	9882	200391
940	9892	200367
941	9903	200357
942	9915	200378
943	9927	200398
944	9938	200399
945	9949	200404
946	9961	200410
947	9971	200402
948	9982	200391
949	9992	200366
950	10001	200344
951	10012	200326
952	10022	200307
